PERMNO,date,RET,vwretd
47896,1991-08-08,0.038278,-0.001488
47896,1991-08-09,-0.009217,-0.003925
47896,1991-08-12,0.013953,0.001978
47896,1991-08-13,0.036697,0.004441
47896,1991-08-14,0.026549,0.002259
47896,1991-08-15,-0.034483,-0.001346
47896,1991-08-16,-0.017857,-0.007974
47896,1991-08-19,-0.040909,-0.023036
47896,1991-08-20,0.014218,0.007127
47896,1991-08-21,0.028037,0.027107
47896,1991-08-22,-0.022727,0.002229
47896,1991-08-23,0.000000,0.006183
47896,1991-08-26,-0.009302,-0.000292
47896,1991-08-27,-0.014085,-0.000906
47896,1991-08-28,-0.004762,0.008422
47896,1991-08-29,0.014354,0.000028
47896,1991-08-30,0.000000,-0.001435
47896,1991-09-03,0.000000,-0.007347
47896,1991-09-04,0.000000,-0.005382
47896,1991-09-05,0.000000,-0.002508
47896,1991-09-06,0.000000,0.000119
47896,1991-09-09,0.009434,-0.000995
47896,1991-09-10,-0.009434,-0.010083
47896,1991-09-11,-0.014286,0.001800
47896,1991-09-12,0.004831,0.006593
47896,1991-09-13,-0.024038,-0.008549
47896,1991-09-16,-0.024631,0.004197
47896,1991-09-17,0.025253,-0.000361
47896,1991-09-18,-0.004926,0.003527
47896,1991-09-19,0.000000,0.003243
47896,1991-09-20,0.004950,0.002261
47896,1991-09-23,0.000000,-0.004277
47896,1991-09-24,-0.014778,0.004591
47896,1991-09-25,0.005000,-0.001444
47896,1991-09-26,0.014925,-0.000196
47896,1991-09-27,-0.004902,-0.001547
47896,1991-09-30,0.000000,0.005512
47896,1991-10-01,-0.034483,0.002719
47896,1991-10-02,0.005102,-0.002361
47896,1991-10-03,-0.025381,-0.008870
47896,1991-10-04,-0.010417,-0.005721
47896,1991-10-07,-0.010526,-0.005612
47896,1991-10-08,0.005319,0.002624
47896,1991-10-09,-0.026455,-0.008432
47896,1991-10-10,0.021739,0.007061
47896,1991-10-11,0.021277,0.003056
47896,1991-10-14,0.015625,0.011955
47896,1991-10-15,0.071795,0.011922
47896,1991-10-16,-0.009569,0.006814
47896,1991-10-17,-0.038647,-0.002361
47896,1991-10-18,0.010050,0.001829
47896,1991-10-21,-0.004975,-0.005529
47896,1991-10-22,0.005000,-0.003832
47896,1991-10-23,-0.024876,-0.000460
47896,1991-10-24,-0.025510,-0.007669
47896,1991-10-25,0.005236,-0.002843
47896,1991-10-28,0.020833,0.011439
47896,1991-10-29,0.010204,0.005907
47896,1991-10-30,0.005051,0.005325
47896,1991-10-31,-0.005025,0.001294
47896,1991-11-01,0.000000,-0.002711
47896,1991-11-04,-0.020202,-0.002984
47896,1991-11-05,0.015464,-0.002225
47896,1991-11-06,0.015228,0.002803
47896,1991-11-07,0.015000,0.009026
47896,1991-11-08,-0.014778,0.000282
